timepoint	cohort	sample	peptide	count
t1	resilient	R.66	lcl|c233495_g1_i4|m.18615	0
t1	resilient	R.74	lcl|c233495_g1_i4|m.18615	0
t1	susceptible	S.5	lcl|c233495_g1_i4|m.18615	0
t1	susceptible	S.20	lcl|c233495_g1_i4|m.18615	0
t1	susceptible	S.25	lcl|c233495_g1_i4|m.18615	0
t1	susceptible	S.28	lcl|c233495_g1_i4|m.18615	0
t1	susceptible	S.55	lcl|c233495_g1_i4|m.18615	0
t1	susceptible	S.73	lcl|c233495_g1_i4|m.18615	1
t1	resilient	R.10	lcl|c225544_g1_i2|m.10720	0
t1	resilient	R.13	lcl|c225544_g1_i2|m.10720	2
t1	resilient	R.21	lcl|c225544_g1_i2|m.10720	0
t1	resilient	R.26	lcl|c225544_g1_i2|m.10720	9
t1	resilient	R.66	lcl|c225544_g1_i2|m.10720	1
t1	resilient	R.74	lcl|c225544_g1_i2|m.10720	0
t1	susceptible	S.5	lcl|c225544_g1_i2|m.10720	0
t1	susceptible	S.20	lcl|c225544_g1_i2|m.10720	1
t1	susceptible	S.25	lcl|c225544_g1_i2|m.10720	0
t1	susceptible	S.28	lcl|c225544_g1_i2|m.10720	0
t1	susceptible	S.55	lcl|c225544_g1_i2|m.10720	0
t1	susceptible	S.73	lcl|c225544_g1_i2|m.10720	1
t1	resilient	R.10	lcl|c241114_g1_i2|m.28195	1
t1	resilient	R.13	lcl|c241114_g1_i2|m.28195	3
t1	resilient	R.21	lcl|c241114_g1_i2|m.28195	2
t1	resilient	R.26	lcl|c241114_g1_i2|m.28195	4
t1	resilient	R.66	lcl|c241114_g1_i2|m.28195	3
t1	resilient	R.74	lcl|c241114_g1_i2|m.28195	2
t1	susceptible	S.5	lcl|c241114_g1_i2|m.28195	0
t1	susceptible	S.20	lcl|c241114_g1_i2|m.28195	1
t1	susceptible	S.25	lcl|c241114_g1_i2|m.28195	0
t1	susceptible	S.28	lcl|c241114_g1_i2|m.28195	1
t1	susceptible	S.55	lcl|c241114_g1_i2|m.28195	1
t1	susceptible	S.73	lcl|c241114_g1_i2|m.28195	1
t1	resilient	R.10	lcl|c239860_g1_i1|m.26440	39
t1	resilient	R.13	lcl|c239860_g1_i1|m.26440	0
t1	resilient	R.21	lcl|c239860_g1_i1|m.26440	28
t1	resilient	R.26	lcl|c239860_g1_i1|m.26440	0
t1	resilient	R.66	lcl|c239860_g1_i1|m.26440	18
t1	resilient	R.74	lcl|c239860_g1_i1|m.26440	5
t1	susceptible	S.5	lcl|c239860_g1_i1|m.26440	0
t1	susceptible	S.20	lcl|c239860_g1_i1|m.26440	20
t1	susceptible	S.25	lcl|c239860_g1_i1|m.26440	0
t1	susceptible	S.28	lcl|c239860_g1_i1|m.26440	12
t1	susceptible	S.55	lcl|c239860_g1_i1|m.26440	0
t1	susceptible	S.73	lcl|c239860_g1_i1|m.26440	0
t1	resilient	R.10	lcl|c239860_g1_i4|m.26447	0
t1	resilient	R.13	lcl|c239860_g1_i4|m.26447	0
t1	resilient	R.21	lcl|c239860_g1_i4|m.26447	0
t1	resilient	R.26	lcl|c239860_g1_i4|m.26447	0
t1	resilient	R.66	lcl|c239860_g1_i4|m.26447	0
t1	resilient	R.74	lcl|c239860_g1_i4|m.26447	10
t1	susceptible	S.5	lcl|c239860_g1_i4|m.26447	0
t1	susceptible	S.20	lcl|c239860_g1_i4|m.26447	0
t1	susceptible	S.25	lcl|c239860_g1_i4|m.26447	0
t1	susceptible	S.28	lcl|c239860_g1_i4|m.26447	0
t1	susceptible	S.55	lcl|c239860_g1_i4|m.26447	0
t1	susceptible	S.73	lcl|c239860_g1_i4|m.26447	0
t1	resilient	R.10	lcl|c232294_g5_i11|m.17226	4
t1	resilient	R.13	lcl|c232294_g5_i11|m.17226	2
t1	resilient	R.21	lcl|c232294_g5_i11|m.17226	6
t1	resilient	R.26	lcl|c232294_g5_i11|m.17226	4
t1	resilient	R.66	lcl|c232294_g5_i11|m.17226	1
t1	resilient	R.74	lcl|c232294_g5_i11|m.17226	2
t1	susceptible	S.5	lcl|c232294_g5_i11|m.17226	1
t1	susceptible	S.20	lcl|c232294_g5_i11|m.17226	1
t1	susceptible	S.25	lcl|c232294_g5_i11|m.17226	3
t1	susceptible	S.28	lcl|c232294_g5_i11|m.17226	0
