Protein,Timepoint,R mean,R std,S mean,S std,Log2FC,SSMD
lcl|c244164_g1_i1|m.31837,T2,0.6666666667,0.8164965809,0.6666666667,0.5773502692,0,0
lcl|c221672_g4_i6|m.7784,T2,0.8333333333,0.7527726527,0.6666666667,0.5773502692,-0.3219280949,-0.1229057541
lcl|c214832_g3_i2|m.3697,T2,31.33333333,9.157874571,25.33333333,8.736894948,-0.3066613382,-0.6167271196
lcl|c211415_g1_i1|m.2432,T2,4,1.095445115,3.333333333,1.154700538,-0.2630344058,-0.3551215402
lcl|c240887_g1_i5|m.27881,T2,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
lcl|c216201_g2_i1|m.4428,T2,2.333333333,1.505545305,2,1,-0.2223924213,-0.1664360916
lcl|c229938_g5_i10|m.14794,T2,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
lcl|c221431_g3_i2|m.7619,T2,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
lcl|c232745_g5_i1|m.17734,T2,0.5,0.8366600265,0.3333333333,0.5773502692,-0.5849625007,-0.1176555907
lcl|c224811_g1_i5|m.10151,T2,0.5,0.8366600265,1,0,1,0.3865275878
lcl|c237328_g3_i1|m.23165,T2,1.166666667,1.169045194,1,1,-0.2223924213,-0.09122202389
lcl|c183284_g1_i1|m.675,T2,0.5,0.8366600265,0.3333333333,0.5773502692,-0.5849625007,-0.1176555907
lcl|c225715_g4_i3|m.10860,T2,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
lcl|c231257_g1_i8|m.16086,T2,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
lcl|c218842_g3_i2|m.5987,T2,35,20.89018908,28.33333333,6.027713773,-0.3048545815,-0.7543017308
lcl|c229561_g1_i12|m.14408,T2,19,6.782329983,15.33333333,5.507570547,-0.3093280581,-0.5534126684
lcl|c228665_g3_i2|m.13504,T2,2.833333333,3.125166662,2.333333333,1.527525232,-0.2801079192,-0.1706607235
lcl|c210244_g1_i1|m.2148,T2,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
lcl|c217701_g4_i1|m.5329,T2,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
lcl|c215665_g1_i1|m.4142,T2,0.6666666667,0.8164965809,0,0,-2.736965594,-0.52169486
lcl|c236015_g2_i16|m.21586,T2,1,1.264911064,0.6666666667,1.154700538,-0.5849625007,-0.1695928945
lcl|c227780_g2_i3|m.12767,T2,1,0.632455532,0.6666666667,0.5773502692,-0.5849625007,-0.263667833
lcl|c233622_g1_i3|m.18793,T2,0,0,0.3333333333,0.5773502692,1.736965594,0.5773502692
lcl|c237596_g1_i10|m.23471,T2,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
lcl|c225266_g1_i7|m.10481,T2,1.333333333,1.032795559,1,1,-0.4150374993,-0.1903801351
lcl|c218968_g13_i5|m.6107,T2,0.5,0.8366600265,0.3333333333,0.5773502692,-0.5849625007,-0.1176555907
lcl|c220011_g4_i9|m.6707,T2,0.6666666667,0.8164965809,0.3333333333,0.5773502692,-1,-0.2377119035
lcl|c234533_g4_i3|m.19947,T2,90.5,35.60758346,73,8.717797887,-0.3100213282,-1.442320482
lcl|c227993_g1_i6|m.12952,T2,22.5,9.544631999,18.33333333,6.110100927,-0.2954558835,-0.5547051795
lcl|c212248_g3_i1|m.2663,T2,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
lcl|c219485_g5_i3|m.6399,T2,0.5,0.8366600265,0.3333333333,0.5773502692,-0.5849625007,-0.1176555907
lcl|c223414_g3_i3|m.9104,T2,0.5,0.8366600265,0.3333333333,0.5773502692,-0.5849625007,-0.1176555907
lcl|c234044_g4_i5|m.19369,T2,0.8333333333,0.7527726527,0.3333333333,0.5773502692,-1.321928095,-0.3687172622
lcl|c219883_g1_i2|m.6624,T2,71,8.717797887,57.33333333,13.65039682,-0.3084448655,-0.957400435
lcl|c210341_g5_i1|m.2162,T2,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
lcl|c229060_g1_i1|m.13927,T2,2.333333333,1.032795559,1.666666667,2.081665999,-0.4854268272,-0.2635452843
lcl|c239931_g2_i9|m.26544,T2,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
lcl|c216422_g3_i2|m.4589,T2,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
lcl|c239047_g3_i3|m.25234,T2,0.5,0.8366600265,0.3333333333,0.5773502692,-0.5849625007,-0.1176555907
lcl|c238850_g2_i5|m.25002,T2,0.5,0.8366600265,0.6666666667,0.5773502692,0.4150374993,0.1176555907
lcl|c227365_g1_i1|m.12366,T2,0.6666666667,0.8164965809,0.6666666667,0.5773502692,0,0
lcl|c215627_g1_i1|m.4125,T2,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
lcl|c231030_g9_i2|m.15907,T2,0.6666666667,0.8164965809,1,0,0.5849625007,0.26084743
lcl|c225753_g2_i5|m.10911,T2,1.166666667,0.4082482905,1,0,-0.2223924213,-0.1844469866
lcl|c227963_g7_i1|m.12929,T2,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
lcl|c236395_g1_i2|m.22070,T2,0.3333333333,0.8164965809,0.3333333333,0.5773502692,0,0
lcl|c235911_g1_i6|m.21464,T2,0.5,0.8366600265,0.3333333333,0.5773502692,-0.5849625007,-0.1176555907
lcl|c243117_g1_i1|m.30639,T2,0.5,0.8366600265,0.6666666667,0.5773502692,0.4150374993,0.1176555907
lcl|c215492_g2_i9|m.4058,T2,96,21.60555484,78,16,-0.2995602819,-1.040599583
lcl|c221844_g2_i1|m.7916,T2,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
