Protein,Timepoint,R mean,R std,S mean,S std,Log2FC,SSMD
lcl|c211415_g1_i1|m.2432,T1,4.666666667,2.065591118,3.833333333,2.228601953,-0.283792966,-0.2762799661
lcl|c222179_g3_i2|m.8147,T1,0.6666666667,0.8164965809,0.1666666667,0.4082482905,-2,-0.3727132164
lcl|c231768_g1_i1|m.16601,T1,0.5,0.8366600265,0.3333333333,0.5163977795,-0.5849625007,-0.1196601027
lcl|c237342_g3_i11|m.23180,T1,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
lcl|c219829_g2_i1|m.6600,T1,0.8333333333,0.7527726527,0.5,0.5477225575,-0.7369655942,-0.2480701733
lcl|c227373_g2_i1|m.12378,T1,0.6666666667,0.8164965809,0.5,0.5477225575,-0.4150374993,-0.119876372
lcl|c240857_g5_i1|m.27819,T1,31.66666667,9.048020041,26.33333333,6.314005596,-0.2660748602,-0.7005262261
lcl|c216377_g1_i3|m.4559,T1,5.333333333,3.011090611,4.5,1.870828693,-0.2451124978,-0.2700539492
lcl|c229592_g3_i11|m.14442,T1,2.666666667,1.861898673,2,1.414213562,-0.4150374993,-0.2786548565
lcl|c236138_g1_i3|m.21749,T1,1.666666667,1.032795559,1.333333333,1.032795559,-0.3219280949,-0.1883432224
lcl|c224332_g10_i1|m.9746,T1,1.666666667,1.032795559,1.166666667,1.169045194,-0.5145731728,-0.2698858125
lcl|c243112_g2_i2|m.30632,T1,0.6666666667,0.8164965809,0.1666666667,0.4082482905,-2,-0.3727132164
lcl|c241378_g5_i4|m.28499,T1,0.8333333333,0.7527726527,0.1666666667,0.4082482905,-2.321928095,-0.5155408423
lcl|c220094_g3_i2|m.6746,T1,0.6666666667,0.8164965809,0.1666666667,0.4082482905,-2,-0.3727132164
lcl|c223689_g4_i1|m.9313,T1,0.6666666667,0.8164965809,0.3333333333,0.5163977795,-1,-0.2418470675
lcl|c238545_g4_i3|m.24636,T1,0.3333333333,0.8164965809,0.1666666667,0.4082482905,-1,-0.1242377388
lcl|c223510_g3_i1|m.9178,T1,0.3333333333,0.8164965809,0.1666666667,0.4082482905,-1,-0.1242377388
lcl|c230413_g1_i5|m.15274,T1,0.5,0.8366600265,0.1666666667,0.4082482905,-1.584962501,-0.2457374804
lcl|c238994_g2_i1|m.25162,T1,2,1.897366596,1.666666667,1.366260102,-0.2630344058,-0.1400931274
lcl|c232758_g3_i1|m.17745,T1,0.3333333333,0.8164965809,0.1666666667,0.4082482905,-1,-0.1242377388
lcl|c236926_g1_i1|m.22696,T1,0.6666666667,0.8164965809,0,0,-2.736965594,-0.52169486
lcl|c236008_g9_i2|m.21562,T1,0.3333333333,0.8164965809,0.1666666667,0.4082482905,-1,-0.1242377388
lcl|c235481_g2_i1|m.20956,T1,32.33333333,5.085928299,27,6.164414003,-0.2600628393,-0.7684259727
lcl|c221482_g2_i1|m.7668,T1,1,0.632455532,0.3333333333,0.5163977795,-1.584962501,-0.5386903794
lcl|c242499_g1_i3|m.29884,T1,0.8333333333,0.7527726527,0.1666666667,0.4082482905,-2.321928095,-0.5155408423
lcl|c233042_g5_i1|m.18070,T1,9.833333333,1.602081979,8.333333333,2.875181154,-0.2387868596,-0.4428879105
lcl|c223608_g1_i1|m.9238,T1,0.3333333333,0.8164965809,0.3333333333,0.5163977795,0,0
lcl|c240483_g1_i8|m.27301,T1,8.5,5.468089246,7.166666667,6.735478206,-0.2461605873,-0.1776943282
lcl|c222306_g9_i1|m.8237,T1,6.833333333,2.786873995,5.666666667,3.265986324,-0.2700891634,-0.2894997765
lcl|c242802_g6_i1|m.30247,T1,2.166666667,1.169045194,1.833333333,1.471960144,-0.2410080995,-0.1570518506
lcl|c221497_g1_i2|m.7677,T1,1.166666667,0.7527726527,1,0.632455532,-0.2223924213,-0.1207366468
lcl|c229823_g1_i1|m.14655,T1,0.6666666667,0.8164965809,0.5,0.5477225575,-0.4150374993,-0.119876372
lcl|c241372_g2_i1|m.28491,T1,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
lcl|c240071_g1_i3|m.26729,T1,0.5,0.8366600265,0.5,0.5477225575,0,0
lcl|c229426_g2_i2|m.14255,T1,0.5,0.8366600265,0.3333333333,0.5163977795,-0.5849625007,-0.1196601027
lcl|c229561_g1_i12|m.14408,T1,18.83333333,4.262237284,15.66666667,6.742897498,-0.2655901107,-0.4309641026
lcl|c240077_g1_i1|m.26736,T1,13.83333333,4.535048695,11.66666667,4.412104562,-0.2457564144,-0.4055923356
lcl|c241183_g3_i1|m.28296,T1,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
lcl|c227958_g2_i1|m.12924,T1,0.5,0.8366600265,0.1666666667,0.4082482905,-1.584962501,-0.2457374804
lcl|c186217_g1_i1|m.726,T1,1,0.894427191,0.3333333333,0.8164965809,-1.584962501,-0.4254386191
lcl|c210539_g3_i4|m.2197,T1,0.5,0.8366600265,0.1666666667,0.4082482905,-1.584962501,-0.2457374804
lcl|c183284_g1_i1|m.675,T1,0.8333333333,0.7527726527,0.5,0.5477225575,-0.7369655942,-0.2480701733
lcl|c227467_g2_i2|m.12463,T1,0.5,0.8366600265,0.1666666667,0.4082482905,-1.584962501,-0.2457374804
lcl|c244439_g1_i1|m.32192,T1,53.16666667,19.50811797,44.66666667,15.26652111,-0.2513234233,-0.5153096788
lcl|c228221_g2_i9|m.13137,T1,35.16666667,11.58303357,29.66666667,17.08410567,-0.2453657577,-0.3098737933
lcl|c239543_g6_i2|m.25954,T1,11.33333333,2.250925735,9.5,2.34520788,-0.2545728271,-0.5796972422
lcl|c228056_g1_i3|m.13005,T1,3,2.19089023,2.166666667,2.562550813,-0.4694852833,-0.2518503109
lcl|c237405_g1_i2|m.23236,T1,2.333333333,0.5163977795,2,0.632455532,-0.2223924213,-0.2784752689
lcl|c242872_g1_i1|m.30313,T1,0.5,0.8366600265,0.6666666667,0.5163977795,0.4150374993,0.1196601027
lcl|c237457_g1_i3|m.23289,T1,0.3333333333,0.8164965809,0.1666666667,0.4082482905,-1,-0.1242377388
lcl|c221736_g1_i11|m.7820,T1,10.16666667,3.600925807,8.5,5.357238094,-0.2583119956,-0.2781572127
lcl|c219327_g1_i2|m.6330,T1,3.5,1.974841766,3,1.549193338,-0.2223924213,-0.1984238921
lcl|c242855_g1_i2|m.30293,T1,0.6666666667,0.8164965809,0.3333333333,0.5163977795,-1,-0.2418470675
lcl|c224694_g1_i1|m.10068,T1,8.5,3.78153408,7.333333333,3.011090611,-0.2129937233,-0.2860909551
lcl|c226287_g1_i2|m.11357,T1,7,2.898275349,5.5,4.370354677,-0.3479233034,-0.3006226288
lcl|c233547_g4_i3|m.18699,T1,4,1.264911064,3.333333333,1.861898673,-0.2630344058,-0.2722451977
lcl|c236486_g1_i1|m.22162,T1,3,2.529822128,2.5,1.516575089,-0.2630344058,-0.1843068995
lcl|c237805_g1_i7|m.23781,T1,1.166666667,0.7527726527,0.8333333333,0.7527726527,-0.4854268272,-0.231558995
lcl|c214652_g2_i1|m.3569,T1,0.3333333333,0.8164965809,0.1666666667,0.4082482905,-1,-0.1242377388
lcl|c221890_g1_i1|m.7971,T1,1,0.632455532,0.3333333333,0.5163977795,-1.584962501,-0.5386903794
lcl|c213355_g3_i1|m.3053,T1,0.5,0.8366600265,0.3333333333,0.5163977795,-0.5849625007,-0.1196601027
lcl|c240398_g5_i2|m.27189,T1,0.6666666667,0.8164965809,0.8333333333,0.4082482905,0.3219280949,0.1242377388
lcl|c242633_g1_i1|m.30058,T1,96.33333333,42.14103305,81.33333333,7.659416862,-0.2441883449,-1.254587928
lcl|c220050_g2_i1|m.6739,T1,3.166666667,1.602081979,2.666666667,1.032795559,-0.2479275134,-0.2419434283
lcl|c230953_g1_i2|m.15824,T1,0.8333333333,0.9831920803,0.5,0.8366600265,-0.7369655942,-0.2041349585
lcl|c242364_g3_i1|m.29719,T1,0.6666666667,0.8164965809,0,0,-2.736965594,-0.52169486
lcl|c239797_g2_i1|m.26328,T1,0.8333333333,1.169045194,0.5,0.8366600265,-0.7369655942,-0.1912398524
lcl|c212912_g1_i1|m.2890,T1,0.6666666667,0.8164965809,0.5,0.5477225575,-0.4150374993,-0.119876372
lcl|c226454_g2_i2|m.11493,T1,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
lcl|c231963_g1_i7|m.16837,T1,33.16666667,5.492419018,28,5.291502622,-0.2443071978,-0.8274896612
lcl|c233068_g3_i4|m.18107,T1,3,2.828427125,2,4.898979486,-0.5849625007,-0.1836273888
lcl|c229541_g1_i10|m.14378,T1,0.5,0.8366600265,0.5,0.5477225575,0,0
lcl|c232758_g3_i3|m.17747,T1,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
lcl|c231380_g1_i2|m.16168,T1,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
lcl|c216243_g3_i1|m.4453,T1,0.5,0.8366600265,0.1666666667,0.4082482905,-1.584962501,-0.2457374804
lcl|c241031_g1_i1|m.28098,T1,37.33333333,20.57830573,31.16666667,16.99901958,-0.2604604622,-0.3394004386
lcl|c89067_g1_i1|m.32704,T1,0.5,0.8366600265,0.1666666667,0.4082482905,-1.584962501,-0.2457374804
lcl|c235237_g2_i1|m.20732,T1,0.3333333333,0.8164965809,0.1666666667,0.4082482905,-1,-0.1242377388
lcl|c233212_g2_i5|m.18273,T1,0.5,0.8366600265,0.6666666667,0.5163977795,0.4150374993,0.1196601027
lcl|c214720_g1_i1|m.3639,T1,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
lcl|c232745_g5_i1|m.17734,T1,0.3333333333,0.8164965809,0.1666666667,0.4082482905,-1,-0.1242377388
lcl|c240333_g1_i3|m.27087,T1,2.166666667,2.562550813,1.5,2.073644135,-0.5305147167,-0.2171529433
lcl|c214598_g2_i2|m.3547,T1,0.6666666667,1.032795559,0.5,0.8366600265,-0.4150374993,-0.1002200843
lcl|c216201_g2_i1|m.4428,T1,1.166666667,0.7527726527,1.166666667,0.4082482905,0,0
lcl|c228247_g2_i1|m.13162,T1,0.6666666667,0.8164965809,0.5,0.5477225575,-0.4150374993,-0.119876372
lcl|c162537_g1_i2|m.418,T1,0.5,0.8366600265,0.5,0.5477225575,0,0
lcl|c231826_g8_i1|m.16654,T1,0.6666666667,0.8164965809,0.3333333333,0.5163977795,-1,-0.2418470675
lcl|c237325_g2_i1|m.23163,T1,0.3333333333,0.8164965809,0.3333333333,0.5163977795,0,0
lcl|c234877_g1_i1|m.20373,T1,1,0.632455532,0.3333333333,0.5163977795,-1.584962501,-0.5386903794
lcl|c223254_g1_i1|m.8977,T1,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
lcl|c234487_g2_i3|m.19886,T1,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
lcl|c244145_g1_i1|m.31801,T1,64.83333333,21.98560135,54.66666667,13.07924565,-0.2460743404,-0.6932998568
lcl|c223870_g1_i6|m.9447,T1,24,7.874007874,20.33333333,10.40512694,-0.2391876639,-0.3292568945
lcl|c242803_g1_i3|m.30250,T1,0.8333333333,1.169045194,0.5,0.8366600265,-0.7369655942,-0.1912398524
lcl|c219704_g3_i2|m.6534,T1,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
lcl|c244083_g1_i1|m.31720,T1,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
lcl|c237891_g2_i2|m.23861,T1,2.166666667,1.940790217,2,1.264911064,-0.1154772174,-0.07118620715
lcl|c226944_g1_i1|m.11952,T1,0.6666666667,0.8164965809,0,0,-2.736965594,-0.52169486
lcl|c229303_g7_i1|m.14137,T1,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
lcl|c233577_g2_i4|m.18732,T1,0.8333333333,0.7527726527,0.8333333333,0.4082482905,0,0
lcl|c228908_g5_i3|m.13768,T1,0.5,0.8366600265,0.5,0.5477225575,0,0
lcl|c242949_g1_i1|m.30439,T1,0.6666666667,0.8164965809,0,0,-2.736965594,-0.52169486
lcl|c237596_g1_i10|m.23471,T1,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
lcl|c240300_g3_i7|m.27053,T1,22.33333333,7.004760286,19,5.513619501,-0.2331991763,-0.5001965626
lcl|c231364_g6_i1|m.16162,T1,4.166666667,3.311595789,3.666666667,1.366260102,-0.1844245711,-0.1716009884
lcl|c228380_g1_i2|m.13296,T1,2.333333333,0.5163977795,2,0,-0.2223924213,-0.3279982785
lcl|c225115_g3_i4|m.10375,T1,0.6666666667,0.8164965809,0,0,-2.736965594,-0.52169486
lcl|c234626_g5_i4|m.20044,T1,0.6666666667,0.8164965809,0,0,-2.736965594,-0.52169486
lcl|c226683_g4_i10|m.11705,T1,0.5,0.8366600265,0.6666666667,0.5163977795,0.4150374993,0.1196601027
lcl|c237591_g3_i1|m.23457,T1,3,2.529822128,2.666666667,1.632993162,-0.1699250014,-0.1199202858
lcl|c237535_g3_i3|m.23359,T1,1.833333333,1.169045194,1.666666667,0.5163977795,-0.1375035237,-0.1032678507
lcl|c239261_g1_i11|m.25522,T1,0.6666666667,1.632993162,0.6666666667,1.032795559,0,0
lcl|c226546_g3_i1|m.11574,T1,0.5,0.8366600265,0.1666666667,0.4082482905,-1.584962501,-0.2457374804
lcl|c239392_g1_i1|m.25726,T1,0.6666666667,0.8164965809,0.6666666667,0.5163977795,0,0
lcl|c213347_g2_i2|m.3043,T1,0.5,0.8366600265,0.3333333333,0.5163977795,-0.5849625007,-0.1196601027
lcl|c241916_g1_i7|m.29148,T1,8,5.019960159,6.833333333,4.708148964,-0.2274104961,-0.2055769591
lcl|c234060_g2_i2|m.19387,T1,5.833333333,1.602081979,5,1.264911064,-0.2223924213,-0.3801980137
lcl|c237938_g3_i2|m.23906,T1,1,1.549193338,1.333333333,0.8164965809,0.4150374993,0.1717881404
lcl|c218873_g3_i3|m.6014,T1,0.3333333333,0.8164965809,0.1666666667,0.4082482905,-1,-0.1242377388
lcl|c222187_g6_i2|m.8154,T1,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
lcl|c242839_g1_i1|m.30267,T1,3.333333333,2.338090389,3,1.549193338,-0.1520030934,-0.1253081406
lcl|c220897_g5_i4|m.7224,T1,0.6666666667,0.8164965809,0.5,0.5477225575,-0.4150374993,-0.119876372
lcl|c222399_g1_i2|m.8304,T1,25.83333333,17.12794987,21.83333333,12.73446766,-0.2427014037,-0.2854067898
lcl|c234643_g1_i6|m.20078,T1,17,7.293833012,14.5,6.655824517,-0.2294818461,-0.3257825646
lcl|c241299_g1_i6|m.28386,T1,11.16666667,4.355073669,9.5,3.271085447,-0.2331991763,-0.3782982512
lcl|c244350_g3_i3|m.32077,T1,1,1.549193338,1,1.095445115,0,0
lcl|c211436_g1_i2|m.2434,T1,0.8333333333,0.9831920803,0.8333333333,0.7527726527,0,0
lcl|c241165_g4_i1|m.28268,T1,0.6666666667,0.8164965809,0.5,0.5477225575,-0.4150374993,-0.119876372
lcl|c231257_g1_i8|m.16086,T1,0.5,0.8366600265,0.1666666667,0.4082482905,-1.584962501,-0.2457374804
lcl|c239931_g2_i9|m.26544,T1,0.3333333333,0.8164965809,0.1666666667,0.4082482905,-1,-0.1242377388
lcl|c215763_g2_i3|m.4184,T1,3.666666667,1.632993162,3.166666667,1.169045194,-0.2115041052,-0.2323031608
lcl|c221301_g3_i3|m.7552,T1,1.166666667,0.9831920803,0.6666666667,0.8164965809,-0.8073549221,-0.3081345402
lcl|c210720_g2_i2|m.2252,T1,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
lcl|c241194_g4_i1|m.28300,T1,0.8333333333,0.7527726527,0.5,0.5477225575,-0.7369655942,-0.2480701733
lcl|c225266_g1_i7|m.10481,T1,1,0.632455532,0.6666666667,0.5163977795,-0.5849625007,-0.2693451897
lcl|c232653_g3_i2|m.17644,T1,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
lcl|c215059_g3_i1|m.3798,T1,0.6666666667,0.8164965809,0.1666666667,0.4082482905,-2,-0.3727132164
lcl|c221130_g3_i2|m.7408,T1,2.666666667,1.032795559,2.333333333,0.5163977795,-0.1926450779,-0.2182682013
lcl|c237027_g3_i11|m.22792,T1,1.333333333,0.5163977795,0.5,0.8366600265,-1.415037499,-0.6330603169
lcl|c238833_g1_i2|m.24965,T1,3.833333333,3.311595789,3.5,2.073644135,-0.1312445333,-0.1008565179
lcl|c241763_g6_i2|m.28918,T1,0.3333333333,0.8164965809,0.6666666667,0.5163977795,1,0.2418470675
lcl|c238681_g1_i11|m.24819,T1,0.8333333333,0.7527726527,0.5,0.5477225575,-0.7369655942,-0.2480701733
lcl|c236134_g1_i2|m.21741,T1,2.5,2.42899156,2.166666667,1.722401424,-0.2064508775,-0.1191643342
lcl|c234044_g4_i5|m.19369,T1,0.6666666667,0.8164965809,0.5,0.5477225575,-0.4150374993,-0.119876372
lcl|c215434_g3_i1|m.4032,T1,0.6666666667,0.8164965809,0.1666666667,0.4082482905,-2,-0.3727132164
lcl|c224130_g1_i5|m.9625,T1,0.3333333333,0.8164965809,0.3333333333,0.5163977795,0,0
lcl|c231506_g1_i1|m.16344,T1,3.833333333,1.169045194,3.333333333,1.751190072,-0.2016338612,-0.2150710304
lcl|c228945_g3_i2|m.13809,T1,11.5,3.834057903,9.833333333,3.816630276,-0.2258814074,-0.3534535168
lcl|c244508_g1_i1|m.32310,T1,10,2.75680975,8.5,1.378404875,-0.2344652536,-0.5509042374
lcl|c238132_g3_i10|m.24131,T1,6,3.521363372,5.166666667,4.355073669,-0.2157286911,-0.1634005982
lcl|c234120_g6_i1|m.19489,T1,2.5,1.643167673,2,2.097617696,-0.3219280949,-0.1803475888
lcl|c220380_g1_i3|m.6911,T1,0.8333333333,0.7527726527,0.5,0.5477225575,-0.7369655942,-0.2480701733
lcl|c214975_g3_i2|m.3761,T1,0.8333333333,0.7527726527,0.1666666667,0.4082482905,-2.321928095,-0.5155408423
lcl|c219953_g4_i1|m.6659,T1,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
lcl|c242839_g1_i1|m.30268,T1,1,0.894427191,0.5,0.8366600265,-1,-0.3169350426
lcl|c233217_g1_i2|m.18284,T1,0.6666666667,0.8164965809,0.1666666667,0.4082482905,-2,-0.3727132164
lcl|c238457_g1_i1|m.24561,T1,0.5,0.8366600265,0.1666666667,0.4082482905,-1.584962501,-0.2457374804
lcl|c234643_g1_i7|m.20081,T1,17.33333333,6.860515044,15,3.16227766,-0.2085866218,-0.4790821756
lcl|c235850_g2_i3|m.21382,T1,1.333333333,0.5163977795,1,0.632455532,-0.4150374993,-0.2784752689
lcl|c226917_g1_i2|m.11940,T1,0.5,0.8366600265,0.5,0.5477225575,0,0
lcl|c228778_g1_i1|m.13644,T1,0.5,0.8366600265,0.5,0.5477225575,0,0
lcl|c237992_g1_i1|m.23966,T1,0.6666666667,0.8164965809,0,0,-2.736965594,-0.52169486
lcl|c221855_g2_i3|m.7925,T1,9,2.097617696,7.833333333,3.188521078,-0.2002986505,-0.3078511706
lcl|c232511_g1_i6|m.17448,T1,0.6666666667,0.8164965809,0.1666666667,0.4082482905,-2,-0.3727132164
lcl|c241745_g2_i2|m.28910,T1,0.3333333333,0.8164965809,0.1666666667,0.4082482905,-1,-0.1242377388
lcl|c241909_g2_i3|m.29133,T1,2,2.75680975,2.166666667,0.7527726527,0.1154772174,0.06759066818
lcl|c226291_g5_i2|m.11359,T1,0.8333333333,1.602081979,0.6666666667,1.211060142,-0.3219280949,-0.07711727768
lcl|c228825_g1_i1|m.13684,T1,16,6.752777206,14,5.329165038,-0.1926450779,-0.3089542688
lcl|c217199_g3_i2|m.5026,T1,1,1.264911064,0.8333333333,1.169045194,-0.2630344058,-0.0844329637
lcl|c227080_g2_i3|m.12113,T1,0.3333333333,0.8164965809,0.1666666667,0.4082482905,-1,-0.1242377388
lcl|c236101_g5_i2|m.21702,T1,1,0.894427191,0.8333333333,0.7527726527,-0.2630344058,-0.1085938561
lcl|c244255_g3_i1|m.31943,T1,27.83333333,10.77806414,24.16666667,8.750238092,-0.2037952025,-0.3701574335
lcl|c234421_g4_i9|m.19827,T1,0.6666666667,1.211060142,0.6666666667,0.8164965809,0,0
lcl|c241444_g1_i3|m.28579,T1,0.6666666667,1.211060142,0.6666666667,0.8164965809,0,0
lcl|c224971_g6_i2|m.10272,T1,0.3333333333,0.8164965809,0.1666666667,0.4082482905,-1,-0.1242377388
lcl|c239814_g2_i1|m.26347,T1,0.5,0.8366600265,0.5,0.5477225575,0,0
lcl|c217887_g8_i2|m.5422,T1,2.5,2.588435821,2.166666667,1.834847859,-0.2064508775,-0.1140406961
lcl|c236892_g3_i5|m.22669,T1,1,0.894427191,0.8333333333,0.7527726527,-0.2630344058,-0.1085938561
lcl|c237004_g1_i4|m.22774,T1,0.5,0.8366600265,0.3333333333,0.5163977795,-0.5849625007,-0.1196601027
lcl|c232769_g4_i2|m.17751,T1,1.833333333,1.471960144,1.5,1.048808848,-0.2895066172,-0.1657591275
lcl|c231937_g2_i1|m.16793,T1,0.3333333333,0.8164965809,0.3333333333,0.5163977795,0,0
lcl|c182463_g1_i1|m.663,T1,5.166666667,1.602081979,4.5,2.588435821,-0.1993088082,-0.2118360308
lcl|c233650_g1_i7|m.18822,T1,1.333333333,1.505545305,1.166666667,1.169045194,-0.1926450779,-0.07965680999
lcl|c220300_g3_i1|m.6859,T1,48.16666667,5.636192568,42.16666667,8.28049918,-0.1919321078,-0.671496209
lcl|c235787_g4_i1|m.21333,T1,0.3333333333,0.8164965809,0.1666666667,0.4082482905,-1,-0.1242377388
lcl|c221450_g9_i6|m.7639,T1,3.333333333,2.338090389,3,1.673320053,-0.1520030934,-0.1219098644
lcl|c236360_g3_i2|m.22033,T1,3.5,1.643167673,3,2.097617696,-0.2223924213,-0.1803475888
lcl|c239343_g4_i4|m.25612,T1,2.5,2.258317958,2.166666667,1.471960144,-0.2064508775,-0.1289386691
lcl|c233384_g5_i1|m.18475,T1,2,2.683281573,1.666666667,1.861898673,-0.2630344058,-0.112155088
lcl|c238042_g4_i11|m.24029,T1,0.3333333333,0.8164965809,0.1666666667,0.4082482905,-1,-0.1242377388
lcl|c230411_g4_i1|m.15261,T1,2.166666667,0.7527726527,1.833333333,0.7527726527,-0.2410080995,-0.231558995
lcl|c220164_g3_i1|m.6775,T1,0.3333333333,0.8164965809,0.1666666667,0.4082482905,-1,-0.1242377388
lcl|c238476_g3_i5|m.24565,T1,0.5,0.8366600265,0.5,0.5477225575,0,0
lcl|c206531_g1_i1|m.1558,T1,6.666666667,1.966384161,5.833333333,1.940790217,-0.1926450779,-0.3003235064
lcl|c214037_g1_i6|m.3334,T1,1,0.894427191,0.6666666667,0.8164965809,-0.5849625007,-0.2127193095
lcl|c229184_g1_i1|m.14022,T1,0.8333333333,0.9831920803,0.6666666667,0.8164965809,-0.3219280949,-0.1027115134
lcl|c221189_g3_i1|m.7459,T1,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
lcl|c244503_g2_i1|m.32303,T1,0.3333333333,0.8164965809,0.5,0.5477225575,0.5849625007,0.119876372
lcl|c233905_g2_i1|m.19151,T1,11.16666667,4.622409184,9.666666667,1.751190072,-0.2081081953,-0.4274999205
lcl|c217064_g3_i6|m.4935,T1,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
lcl|c223577_g1_i1|m.9214,T1,0.3333333333,0.8164965809,0.1666666667,0.4082482905,-1,-0.1242377388
lcl|c237256_g2_i1|m.23076,T1,0.5,0.8366600265,0.3333333333,0.5163977795,-0.5849625007,-0.1196601027
lcl|c240300_g3_i7|m.27054,T1,15.66666667,6.592925501,13.5,5.128352562,-0.2147388488,-0.34480325
lcl|c206427_g2_i4|m.1541,T1,9,2.683281573,7.833333333,4.070217029,-0.2002986505,-0.2491124856
lcl|c209938_g3_i4|m.2075,T1,0.6666666667,0.8164965809,0,0,-2.736965594,-0.52169486
lcl|c243493_g3_i2|m.31028,T1,1.5,1.048808848,1.5,0.5477225575,0,0
lcl|c240190_g1_i1|m.26888,T1,2.166666667,1.834847859,1.833333333,1.169045194,-0.2410080995,-0.1485320788
lcl|c239816_g8_i3|m.26354,T1,0.6666666667,1.632993162,0.5,1.224744871,-0.4150374993,-0.07634355049
lcl|c224375_g5_i1|m.9769,T1,0.6666666667,0.8164965809,0.1666666667,0.4082482905,-2,-0.3727132164
lcl|c209513_g1_i2|m.1987,T1,0.5,0.8366600265,0.5,0.5477225575,0,0
lcl|c231698_g2_i1|m.16532,T1,1,1.095445115,0.6666666667,0.8164965809,-0.5849625007,-0.1971883723
lcl|c223941_g1_i2|m.9485,T1,6.5,3.016620626,5.666666667,2.943920289,-0.1979393776,-0.217350902
lcl|c223975_g1_i1|m.9515,T1,2.666666667,2.065591118,2.333333333,1.505545305,-0.1926450779,-0.1317837179
lcl|c199396_g1_i1|m.1071,T1,0.3333333333,0.8164965809,0.1666666667,0.4082482905,-1,-0.1242377388
lcl|c318732_g1_i1|m.32501,T1,18.16666667,8.328665359,15.83333333,8.727351641,-0.1983287164,-0.2421846714
lcl|c169761_g1_i1|m.505,T1,5.666666667,5.853773712,4.666666667,5.715476066,-0.2801079192,-0.1501186544
lcl|c239670_g2_i1|m.26141,T1,1.5,0.5477225575,1.166666667,0.9831920803,-0.3625700794,-0.2321253884
lcl|c233626_g4_i1|m.18797,T1,0.5,0.8366600265,0.3333333333,0.5163977795,-0.5849625007,-0.1196601027
lcl|c242373_g3_i2|m.29725,T1,19,3.033150178,16.66666667,4.226897996,-0.1890338244,-0.476956217
lcl|c235710_g2_i1|m.21242,T1,0.6666666667,1.032795559,0.8333333333,0.7527726527,0.3219280949,0.1027269846
lcl|c221676_g4_i4|m.7786,T1,6.666666667,2.875181154,5.833333333,3.311595789,-0.1926450779,-0.2038164375
lcl|c241398_g1_i1|m.28521,T1,0.3333333333,0.8164965809,0.1666666667,0.4082482905,-1,-0.1242377388
lcl|c221624_g3_i1|m.7766,T1,0.8333333333,0.7527726527,0.3333333333,0.5163977795,-1.321928095,-0.3755884005
lcl|c213072_g1_i1|m.2941,T1,1,0.894427191,0.6666666667,0.8164965809,-0.5849625007,-0.2127193095
lcl|c230110_g2_i2|m.14961,T1,10.16666667,2.136976057,9,3.741657387,-0.1758498354,-0.2729169746
lcl|c215423_g1_i1|m.4014,T1,0.5,0.8366600265,0.1666666667,0.4082482905,-1.584962501,-0.2457374804
lcl|c212015_g2_i1|m.2602,T1,0.6666666667,1.211060142,0.3333333333,0.8164965809,-1,-0.1896639401
lcl|c205713_g1_i1|m.1484,T1,51.83333333,39.81666318,45.5,20.61795334,-0.1880136292,-0.2819040762
lcl|c238132_g3_i11|m.24132,T1,2.666666667,2.943920289,2.166666667,3.488074923,-0.2995602819,-0.1176730972
lcl|c237765_g3_i1|m.23718,T1,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
lcl|c234114_g3_i3|m.19475,T1,0.6666666667,0.8164965809,0,0,-2.736965594,-0.52169486
lcl|c238200_g3_i4|m.24238,T1,0.6666666667,1.032795559,0.6666666667,0.8164965809,0,0
lcl|c219163_g1_i3|m.6242,T1,1.333333333,0.8164965809,1.166666667,0.7527726527,-0.1926450779,-0.112375332
lcl|c236562_g3_i1|m.22244,T1,27.83333333,17.47474368,24.5,12.38951169,-0.1840319476,-0.2428182166
lcl|c218374_g4_i1|m.5754,T1,12.5,3.885871846,11,2.529822128,-0.1844245711,-0.398455306
lcl|c219710_g2_i1|m.6538,T1,8,3.224903099,7.166666667,1.722401424,-0.158697746,-0.2715655178
lcl|c223425_g3_i3|m.9106,T1,4,2.19089023,3.333333333,3.076794869,-0.2630344058,-0.1791464483
