Genome Accession	Genome Name	TaxID	Organism	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
GCF_000001405.40	GRCh38.p14	9606	Homo sapiens (human)	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
GCF_000001735.4	TAIR10.1	3702	Arabidopsis thaliana (thale cress)	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Arabidopsis	Arabidopsis thaliana
GCF_000146045.2	R64	559292	Saccharomyces cerevisiae S288C (brewer's yeast)	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae
GCF_013076305.1	ASM1307630v1	499914	Rhopilema esculentum (jellyfishes)	Eukaryota	Metazoa	Cnidaria	Scyphozoa	Rhizostomeae	Rhizostomatidae	Rhopilema	Rhopilema esculentum
GCF_016699485.2	bGalGal1.mat.broiler.GRCg7b	9031	Gallus gallus (chicken)	Eukaryota	Metazoa	Chordata	Aves	Galliformes	Phasianidae	Gallus	Gallus gallus
GCF_018143015.1	Lvar_3.0	7654	Lytechinus variegatus (green sea urchin)	Eukaryota	Metazoa	Echinodermata	Echinoidea	Temnopleuroida	Toxopneustidae	Lytechinus	Lytechinus variegatus
GCF_026151205.1	MBARI_Bmic_1.0	2820187	Bolinopsis microptera (comb jellies)	Eukaryota	Metazoa	Ctenophora	Tentaculata	Lobata	Bolinopsidae	Bolinopsis	Bolinopsis microptera
GCF_032118995.1	ASM3211899v1	7602	Asterias amurensis (Northern Pacific seastar)	Eukaryota	Metazoa	Echinodermata	Asteroidea	Forcipulatida	Asteriidae	Asterias	Asterias amurensis
GCF_047335585.1	Pvi2.1	103695	Pogona vitticeps (central bearded dragon)	Eukaryota	Metazoa	Chordata	Lepidosauria	Squamata	Agamidae	Pogona	Pogona vitticeps
GCF_049306965.1	GRCz12tu	7955	Danio rerio (zebrafish)	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Danionidae	Danio	Danio rerio
GCF_902459465.1	eAstRub1.3	7604	Asterias rubens (European starfish)	Eukaryota	Metazoa	Echinodermata	Asteroidea	Forcipulatida	Asteriidae	Asterias	Asterias rubens
GCF_947623445.1	kaClaLepa1.1	159417	Clavelina lepadiformis (light-bulb sea squirt)	Eukaryota	Metazoa	Chordata	Ascidiacea	Aplousobranchia	Clavelinidae	Clavelina	Clavelina lepadiformis
GCF_963422355.1	ooCorCand1.1	121492	Corticium candelabrum (sponges)	Eukaryota	Metazoa	Porifera	Homoscleromorpha	Homosclerophorida	Plakinidae	Corticium	Corticium candelabrum
GCF_963675165.1	odHalPani1.1	6063	Halichondria panicea (sponges)	Eukaryota	Metazoa	Porifera	Demospongiae	Suberitida	Halichondriidae	Halichondria	Halichondria panicea
GCF_964019385.1	ocSycCili1.1	27933	Sycon ciliatum (sponges)	Eukaryota	Metazoa	Porifera	Calcarea	Leucosolenida	Sycettidae	Sycon	Sycon ciliatum
GCA_905237085.1	Pgla_CCMP1383	89957	Polarella glacialis (dinoflagellates)	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Suessiaceae	Polarella	Polarella glacialis
GCA_000507305.1	ASM50730v1	1280413	Breviolum minutum Mf 1.05b.01 (dinoflagellates)	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodiniaceae	Breviolum	Breviolum minutum
GCA_001896105.1	O_faveolata_v1	48498	Orbicella faveolata (stony corals)	Eukaryota	Metazoa	Cnidaria	Anthozoa	Scleractinia	Merulinidae	Orbicella	Orbicella faveolata
GCA_001939145.1	ASM193914v1	2951	Symbiodinium microadriaticum (dinoflagellates)	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	Symbiodinium microadriaticum
GCA_003297005.1	SymA ver 1.0	1563115	Symbiodinium sp. clade A Y106 (dinoflagellates)	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	Symbiodinium sp. clade A
GCA_003297045.1	SymC ver 1.0	1563116	Symbiodinium sp. clade C Y103 (dinoflagellates)	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium sp. clade C
GCA_009731375.1	PmicroMYN1_1.0	1928728	Paulinella micropora (cercozoans)	Eukaryota	Sar	Cercozoa	Imbricatea	Euglyphida	Paulinellidae	Paulinella	Paulinella micropora
GCA_014633955.1	Aten_1.0	70783	Acropora tenuis (purple tipped acropora)	Eukaryota	Metazoa	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	Acropora tenuis
GCA_014633975.1	Aacu_1.0	367763	Acropora acuminata (stony corals)	Eukaryota	Metazoa	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	Acropora acuminata
GCA_014634605.1	Aflo_1.0	70782	Acropora florida (stony corals)	Eukaryota	Metazoa	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	Acropora florida
GCA_024195265.1	GRF_DCR_1.0	1140371	Dendrophyllia cribrosa (stony corals)	Eukaryota	Metazoa	Cnidaria	Anthozoa	Scleractinia	Dendrophylliidae	Dendrophyllia	Dendrophyllia cribrosa
GCA_029204205.1	Loph_1.0	174260	Desmophyllum pertusum (stony corals)	Eukaryota	Metazoa	Cnidaria	Anthozoa	Scleractinia	Caryophylliidae	Desmophyllum	Desmophyllum pertusum
GCA_031213475.2	uoNerLuet1.1	117523	Nereocystis luetkeana (brown algae)	Eukaryota	Sar	Stramenopiles	Phaeophyceae	Laminariales	Laminariaceae	Nereocystis	Nereocystis luetkeana
GCA_032359415.1	NEU_Acer_K2	6130	Acropora cervicornis (staghorn coral)	Eukaryota	Metazoa	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	Acropora cervicornis
GCA_032361285.1	ASM3236128v1	6100	Aequorea victoria (hydrozoans)	Eukaryota	Metazoa	Cnidaria	Hydrozoa	Leptothecata	Aequoreidae	Aequorea	Aequorea victoria
GCA_033675265.1	ASM3367526v1	3060491	Actinostola sp. cb2023 (sea anemones)	Eukaryota	Metazoa	Cnidaria	Anthozoa	Actiniaria	Actinostolidae	Actinostola	Actinostola sp. cb2023
GCA_046269565.1	ASM4626956v1	115959	Sargassum obtusifolium (brown algae)	Eukaryota	Sar	Stramenopiles	Phaeophyceae	Fucales	Sargassaceae	Sargassum	Sargassum obtusifolium
GCA_047495695.1	ASM4749569v1	49265	Thalassiosira rotula (diatoms)	Eukaryota	Sar	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	Thalassiosira rotula
GCA_047906015.2	PSU_Apoculata_full	165419	Astrangia poculata (northern star coral)	Eukaryota	Metazoa	Cnidaria	Anthozoa	Scleractinia	Rhizangiidae	Astrangia	Astrangia poculata
GCA_048937375.1	ASM4893737v1	88149	Saccharina japonica (brown algae)	Eukaryota	Sar	Stramenopiles	Phaeophyceae	Laminariales	Laminariaceae	Saccharina	Saccharina japonica
GCA_902702795.2	PACLA8	317549	Paramuricea clavata (soft corals)	Eukaryota	Metazoa	Cnidaria	Anthozoa	Malacalcyonacea	Plexauridae	Paramuricea	Paramuricea clavata
GCA_905221605.1	Snat_CCMP2548	878477	Symbiodinium natans (dinoflagellates)	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	Symbiodinium natans
