Pfam ID	GO ID	GO description							
PF00172	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific							
PF00172	GO:0008270	zinc ion binding							
PF00172	GO:0006355	regulation of DNA-templated transcription							
PF00175	GO:0016491	oxidoreductase activity							
PF00176	GO:0005524	ATP binding							
PF00178	GO:0003700	DNA-binding transcription factor activity							
PF00178	GO:0043565	sequence-specific DNA binding							
PF00178	GO:0006355	regulation of DNA-templated transcription							
PF00181	GO:0003735	structural constituent of ribosome							
PF00181	GO:0006412	translation							
PF00181	GO:0005840	ribosome							
PF00182	GO:0004568	chitinase activity							
PF00182	GO:0006032	chitin catabolic process							
PF00182	GO:0016998	cell wall macromolecule catabolic process							
PF00183	GO:0005524	ATP binding							
PF00183	GO:0016887	ATP hydrolysis activity							
PF00183	GO:0051082	unfolded protein binding							
PF00183	GO:0140662	ATP-dependent protein folding chaperone							
PF00183	GO:0006457	protein folding							
PF00184	GO:0005185	neurohypophyseal hormone activity							
PF00184	GO:0005576	extracellular region							
PF00185	GO:0016597	amino acid binding							
PF00185	GO:0016743	carboxyl- or carbamoyltransferase activity							
PF00185	GO:0006520	amino acid metabolic process							
PF00186	GO:0004146	dihydrofolate reductase activity							
PF00186	GO:0046654	tetrahydrofolate biosynthetic process							
PF00187	GO:0008061	chitin binding							
PF00189	GO:0003735	structural constituent of ribosome							
PF00189	GO:0006412	translation							
PF00191	GO:0005509	calcium ion binding							
PF00191	GO:0005544	calcium-dependent phospholipid binding							
PF00193	GO:0005540	hyaluronic acid binding							
PF00193	GO:0007155	cell adhesion							
PF00196	GO:0006355	regulation of DNA-templated transcription							
PF00197	GO:0004866	endopeptidase inhibitor activity							
PF00198	GO:0016746	acyltransferase activity							
PF00199	GO:0004096	catalase activity							
PF00199	GO:0020037	heme binding							
PF00201	GO:0008194	UDP-glycosyltransferase activity							
PF00202	GO:0030170	pyridoxal phosphate binding							
PF00203	GO:0003735	structural constituent of ribosome							
PF00203	GO:0006412	translation							
PF00203	GO:0005840	ribosome							
PF00204	GO:0003677	DNA binding							
PF00204	GO:0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity							
PF00204	GO:0005524	ATP binding							
PF00204	GO:0006265	DNA topological change							
PF00205	GO:0000287	magnesium ion binding							
PF00205	GO:0030976	thiamine pyrophosphate binding							
PF00207	GO:0004866	endopeptidase inhibitor activity							
PF00208	GO:0016491	oxidoreductase activity							
PF00208	GO:0006520	amino acid metabolic process							
PF00209	GO:0016020	membrane							
PF00210	GO:0008199	ferric iron binding							
PF00211	GO:0009190	cyclic nucleotide biosynthetic process							
PF00211	GO:0035556	intracellular signal transduction							
PF00212	GO:0005179	hormone activity							
PF00212	GO:0005576	extracellular region							
PF00213	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism							
PF00213	GO:0015986	proton motive force-driven ATP synthesis							
PF00214	GO:0005179	hormone activity							
PF00214	GO:0005576	extracellular region							
PF00215	GO:0004590	orotidine-5'-phosphate decarboxylase activity							
PF00215	GO:0006207	de novo' pyrimidine nucleobase biosynthetic process							
PF00216	GO:0003677	DNA binding							
PF00216	GO:0030527	structural constituent of chromatin							
PF00217	GO:0016301	kinase activity							
PF00217	GO:0016772	transferase activity, transferring phosphorus-containing groups							
PF00218	GO:0004425	indole-3-glycerol-phosphate synthase activity							
PF00219	GO:0005576	extracellular region							
PF00220	GO:0005185	neurohypophyseal hormone activity							
PF00220	GO:0005576	extracellular region							
PF00223	GO:0015979	photosynthesis							
PF00223	GO:0009579	thylakoid							
PF00223	GO:0016020	membrane							
PF00224	GO:0000287	magnesium ion binding							
PF00224	GO:0004743	pyruvate kinase activity							
PF00224	GO:0030955	potassium ion binding							
PF00224	GO:0006096	glycolytic process							
PF00225	GO:0003777	microtubule motor activity							
PF00225	GO:0005524	ATP binding							
PF00225	GO:0008017	microtubule binding							
PF00225	GO:0007018	microtubule-based movement							
PF00227	GO:0051603	proteolysis involved in protein catabolic process							
PF00227	GO:0005839	proteasome core complex							
PF00228	GO:0004867	serine-type endopeptidase inhibitor activity							
PF00228	GO:0005576	extracellular region							
PF00229	GO:0005164	tumor necrosis factor receptor binding							
PF00229	GO:0006955	immune response							
PF00229	GO:0016020	membrane							
PF00230	GO:0015267	channel activity							
PF00230	GO:0055085	transmembrane transport							
PF00230	GO:0016020	membrane							
PF00231	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism							
PF00231	GO:0015986	proton motive force-driven ATP synthesis							
PF00231	GO:0045259	proton-transporting ATP synthase complex							
PF00232	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds							
PF00232	GO:0005975	carbohydrate metabolic process							
PF00233	GO:0004114	3',5'-cyclic-nucleotide phosphodiesterase activity							
PF00233	GO:0007165	signal transduction							
PF00235	GO:0003779	actin binding							
PF00236	GO:0005179	hormone activity							
PF00236	GO:0005576	extracellular region							
PF00237	GO:0003735	structural constituent of ribosome							
PF00237	GO:0006412	translation							
PF00237	GO:0005840	ribosome							
