experiment_id	genome_accession	cohort	timepoint	sample	sequence_id	sequence_type	count	tpm	effective_length	weighted_physical_length
EXP_PM32426508	x_a_tenuis	SS8	0	27_40.8	a_tenuis_TRINITY_DN17808_c1_g1	gene	2449.0	14.678475	1498.1310000000003	1535.0
EXP_PM32426508	x_a_tenuis	SS8	0	27_40.7	a_tenuis_TRINITY_DN17808_c1_g1	gene	2000.0	13.142132	1491.591	1535.0
EXP_PM32426508	x_a_tenuis	SS8	0	27_40.6	a_tenuis_TRINITY_DN17808_c1_g1	gene	2034.0	13.247796	1507.628	1535.0
EXP_PM32426508	x_a_tenuis	SS8	0	27_40.5	a_tenuis_TRINITY_DN17808_c1_g1	gene	1008.0	8.859069	1486.1	1535.0
EXP_PM32426508	x_a_tenuis	WT1	0	27_50.9	a_tenuis_TRINITY_DN25922_c0_g1	gene	159.0	2.8863	538.8337761500883	790.0397131275336
EXP_PM32426508	x_a_tenuis	WT1	0	27_50.8	a_tenuis_TRINITY_DN25922_c0_g1	gene	150.0	2.705067	516.7618523548585	749.806206648486
EXP_PM32426508	x_a_tenuis	WT1	0	27_50.7	a_tenuis_TRINITY_DN25922_c0_g1	gene	159.0	2.937715	543.0917259417608	782.4931605005933
EXP_PM32426508	x_a_tenuis	WT1	0	27_50.6	a_tenuis_TRINITY_DN25922_c0_g1	gene	214.0	4.062678	537.0139338054848	777.8434293832787
EXP_PM32426508	x_a_tenuis	WT1	0	27_50.5	a_tenuis_TRINITY_DN25922_c0_g1	gene	112.0	1.993003	554.1190675433003	801.0436005364768
EXP_PM32426508	x_a_tenuis	WT1	0	27_50.1	a_tenuis_TRINITY_DN25922_c0_g1	gene	161.0	3.3249359999999997	533.4483561018919	780.4914957761591
EXP_PM32426508	x_a_tenuis	SS8	0	27_40.9	a_tenuis_TRINITY_DN25922_c0_g1	gene	212.0	3.730201	534.964	781.0
EXP_PM32426508	x_a_tenuis	SS8	0	27_40.8	a_tenuis_TRINITY_DN25922_c0_g1	gene	277.0	4.7257229999999995	525.909380008731	758.8128599581482
EXP_PM32426508	x_a_tenuis	SS8	0	27_40.7	a_tenuis_TRINITY_DN25922_c0_g1	gene	249.0	4.625683	528.3676429130574	767.7917211361004
EXP_PM32426508	x_a_tenuis	SS8	0	27_40.6	a_tenuis_TRINITY_DN25922_c0_g1	gene	242.0	4.311542	551.4119515486569	785.7672336254639
EXP_PM32426508	x_a_tenuis	SS8	0	27_40.5	a_tenuis_TRINITY_DN25922_c0_g1	gene	139.0	3.5820009999999995	507.8879348947698	751.7094660219245
EXP_PM32426508	x_a_tenuis	WT1	0	27_50.9	a_tenuis_TRINITY_DN335_c0_g1	gene	18047.0	81.144013	2178.249201802553	2181.324889194228
EXP_PM32426508	x_a_tenuis	WT1	0	27_50.8	a_tenuis_TRINITY_DN335_c0_g1	gene	11542.0	49.661358	2169.2723741289956	2153.407308857724
EXP_PM32426508	x_a_tenuis	WT1	0	27_50.7	a_tenuis_TRINITY_DN335_c0_g1	gene	12015.0	54.308066000000004	2213.9441053373907	2186.2326172138037
EXP_PM32426508	x_a_tenuis	WT1	0	27_50.6	a_tenuis_TRINITY_DN335_c0_g1	gene	17660.0	83.166861	2160.7661296629076	2145.128361944549
EXP_PM32426508	x_a_tenuis	WT1	0	27_50.5	a_tenuis_TRINITY_DN335_c0_g1	gene	11654.0	53.762190000000004	2145.315279919549	2138.7001159736983
EXP_PM32426508	x_a_tenuis	WT1	0	27_50.1	a_tenuis_TRINITY_DN335_c0_g1	gene	11365.0	58.105644	2160.1263995463505	2156.665981242717
EXP_PM32426508	x_a_tenuis	SS8	0	27_40.9	a_tenuis_TRINITY_DN335_c0_g1	gene	12238.0	53.554521	2147.377999397119	2136.3943088390242
EXP_PM32426508	x_a_tenuis	SS8	0	27_40.8	a_tenuis_TRINITY_DN335_c0_g1	gene	14572.0	59.228729	2209.56288928329	2174.468387427324
EXP_PM32426508	x_a_tenuis	SS8	0	27_40.7	a_tenuis_TRINITY_DN335_c0_g1	gene	11907.0	52.432764	2226.273626977342	2198.663286242167
EXP_PM32426508	x_a_tenuis	SS8	0	27_40.6	a_tenuis_TRINITY_DN335_c0_g1	gene	13103.0	57.576989	2234.198925180266	2185.6824905345434
EXP_PM32426508	x_a_tenuis	SS8	0	27_40.5	a_tenuis_TRINITY_DN335_c0_g1	gene	7109.0	45.25891	2051.1139946561902	2047.2377597471966
EXP_PM32426508	x_a_tenuis	WT1	0	27_50.9	a_tenuis_TRINITY_DN42964_c0_g1	gene	766.0	31.632327	237.254	494.0
EXP_PM32426508	x_a_tenuis	WT1	0	27_50.8	a_tenuis_TRINITY_DN42964_c0_g1	gene	775.0	29.652415	243.901	494.0
EXP_PM32426508	x_a_tenuis	WT1	0	27_50.7	a_tenuis_TRINITY_DN42964_c0_g1	gene	729.0	30.147562	241.987	494.0
EXP_PM32426508	x_a_tenuis	WT1	0	27_50.6	a_tenuis_TRINITY_DN42964_c0_g1	gene	724.0	30.684726	240.243	494.0
EXP_PM32426508	x_a_tenuis	WT1	0	27_50.5	a_tenuis_TRINITY_DN42964_c0_g1	gene	679.0	28.014886	239.727	494.0
EXP_PM32426508	x_a_tenuis	WT1	0	27_50.1	a_tenuis_TRINITY_DN42964_c0_g1	gene	711.0	32.95459	238.426	494.0
EXP_PM32426508	x_a_tenuis	SS8	0	27_40.9	a_tenuis_TRINITY_DN42964_c0_g1	gene	597.0	23.577398	238.1	494.00000000000006
EXP_PM32426508	x_a_tenuis	SS8	0	27_40.8	a_tenuis_TRINITY_DN42964_c0_g1	gene	838.0	31.335101	240.117	494.0
EXP_PM32426508	x_a_tenuis	SS8	0	27_40.7	a_tenuis_TRINITY_DN42964_c0_g1	gene	659.0	27.01903	239.034	494.0
EXP_PM32426508	x_a_tenuis	SS8	0	27_40.6	a_tenuis_TRINITY_DN42964_c0_g1	gene	633.0	25.64157	242.25299999999996	494.0
EXP_PM32426508	x_a_tenuis	SS8	0	27_40.5	a_tenuis_TRINITY_DN42964_c0_g1	gene	395.0	22.349069	230.542	494.0
